PK_City,City
1,albertville
2,amsterdam
3,antwerpen
4,athina
5,atlanta
6,barcelona
7,beijing
8,berlin
9,calgary
10,chamonix
11,cortina d'ampezzo
12,garmisch-partenkirchen
13,grenoble
14,helsinki
15,innsbruck
16,lake placid
17,lillehammer
18,london
19,los angeles
20,melbourne
21,mexico city
22,montreal
23,moskva
24,munich
25,nagano
26,oslo
27,paris
28,rio de janeiro
29,roma
30,salt lake city
31,sankt moritz
32,sapporo
33,sarajevo
34,seoul
35,sochi
36,squaw valley
37,st. louis
38,stockholm
39,sydney
40,tokyo
41,torino
42,vancouver
