PK_Event,Event,FK_Sport
1,aeronautics mixed aeronautics,1
2,alpine skiing men's combined,2
3,alpine skiing men's downhill,2
4,alpine skiing men's giant slalom,2
5,alpine skiing men's slalom,2
6,alpine skiing men's super g,2
7,alpine skiing women's combined,2
8,alpine skiing women's downhill,2
9,alpine skiing women's giant slalom,2
10,alpine skiing women's slalom,2
11,alpine skiing women's super g,2
12,alpinism mixed alpinism,3
13,archery men's au chapelet,4
14,archery men's au cordon dore,4
15,archery men's championnat du monde,4
16,archery men's continental style,4
17,archery men's double american round,4
18,archery men's double york round,4
19,archery men's individual,4
20,archery men's pole archery,4
21,archery men's sur la perche a la herse,4
22,archery men's sur la perche a la pyramide,4
23,archery men's target archery,4
24,archery men's team,4
25,archery men's team round,4
26,archery men's unknown event,4
27,archery women's double columbia round,4
28,archery women's double national round,4
29,archery women's individual,4
30,archery women's team,4
31,archery women's team round,4
32,art competitions mixed architecture,5
33,art competitions mixed literature,5
34,art competitions mixed music,5
35,art competitions mixed painting,5
36,art competitions mixed sculpturing,5
37,art competitions mixed unknown event,5
38,athletics men's 1,6
39,athletics men's 10,6
40,athletics men's 10 kilometres walk,6
41,athletics men's 10 mile walk,6
42,athletics men's 100 metres,6
43,athletics men's 110 metres hurdles,6
44,athletics men's 2,6
45,athletics men's 20 kilometres walk,6
46,athletics men's 200 metres,6
47,athletics men's 200 metres hurdles,6
48,athletics men's 3,6
49,athletics men's 3 mile,6
50,athletics men's 4,6
51,athletics men's 4 mile,6
52,athletics men's 4 x 100 metres relay,6
53,athletics men's 4 x 400 metres relay,6
54,athletics men's 400 metres,6
55,athletics men's 400 metres hurdles,6
56,athletics men's 5,6
57,athletics men's 5 mile,6
58,athletics men's 50 kilometres walk,6
59,athletics men's 56-pound weight throw,6
60,athletics men's 60 metres,6
61,athletics men's 800 metres,6
62,athletics men's all-around championship,6
63,athletics men's cross-country,6
64,athletics men's decathlon,6
65,athletics men's discus throw,6
66,athletics men's hammer throw,6
67,athletics men's high jump,6
68,athletics men's javelin throw,6
69,athletics men's long jump,6
70,athletics men's marathon,6
71,athletics men's pentathlon,6
72,athletics men's pentathlon (ancient),6
73,athletics men's pole vault,6
74,athletics men's shot put,6
75,athletics men's standing high jump,6
76,athletics men's standing long jump,6
77,athletics men's standing triple jump,6
78,athletics men's stone throw,6
79,athletics men's triple jump,6
80,athletics women's 1,6
81,athletics women's 10,6
82,athletics women's 10 kilometres walk,6
83,athletics women's 100 metres,6
84,athletics women's 100 metres hurdles,6
85,athletics women's 20 kilometres walk,6
86,athletics women's 200 metres,6
87,athletics women's 3,6
88,athletics women's 4 x 100 metres relay,6
89,athletics women's 4 x 400 metres relay,6
90,athletics women's 400 metres,6
91,athletics women's 400 metres hurdles,6
92,athletics women's 5,6
93,athletics women's 80 metres hurdles,6
94,athletics women's 800 metres,6
95,athletics women's discus throw,6
96,athletics women's hammer throw,6
97,athletics women's heptathlon,6
98,athletics women's high jump,6
99,athletics women's javelin throw,6
100,athletics women's long jump,6
101,athletics women's marathon,6
102,athletics women's pentathlon,6
103,athletics women's pole vault,6
104,athletics women's shot put,6
105,athletics women's triple jump,6
106,badminton men's doubles,7
107,badminton men's singles,7
108,badminton mixed doubles,7
109,badminton women's doubles,7
110,badminton women's singles,7
111,baseball men's baseball,8
112,basketball men's basketball,9
113,basketball women's basketball,9
114,basque pelota men's two-man teams with cesta,10
115,beach volleyball men's beach volleyball,11
116,beach volleyball women's beach volleyball,11
117,biathlon men's 10 kilometres sprint,12
118,biathlon men's 12.5 kilometres pursuit,12
119,biathlon men's 15 kilometres mass start,12
120,biathlon men's 20 kilometres,12
121,biathlon men's 4 x 7.5 kilometres relay,12
122,biathlon mixed 2 x 6 kilometres and 2 x 7.5 kilometres relay,12
123,biathlon women's 10 kilometres pursuit,12
124,biathlon women's 12.5 kilometres mass start,12
125,biathlon women's 15 kilometres,12
