PK_NOC,NOC
1,afg
2,aho
3,alb
4,alg
5,and
6,ang
7,ant
8,anz
9,arg
10,arm
11,aru
12,asa
13,aus
14,aut
15,aze
16,bah
17,ban
18,bar
19,bdi
20,bel
21,ben
22,ber
23,bhu
24,bih
25,biz
26,blr
27,boh
28,bol
29,bot
30,bra
31,brn
32,bru
33,bul
34,bur
35,caf
36,cam
37,can
38,cay
39,cgo
40,cha
41,chi
42,chn
43,civ
44,cmr
45,cod
46,cok
47,col
48,com
49,cpv
50,crc
51,cro
52,crt
53,cub
54,cyp
55,cze
56,den
57,dji
58,dma
59,dom
60,ecu
61,egy
62,eri
63,esa
64,esp
65,est
66,eth
67,eun
68,fij
69,fin
70,fra
71,frg
72,fsm
73,gab
74,gam
75,gbr
76,gbs
77,gdr
78,geo
79,geq
80,ger
81,gha
82,gre
83,grn
84,gua
85,gui
86,gum
87,guy
88,hai
89,hkg
90,hon
91,hun
92,ina
93,ind
94,ioa
95,iri
96,irl
97,irq
98,isl
99,isr
100,isv
101,ita
102,ivb
103,jam
104,jor
105,jpn
106,kaz
107,ken
108,kgz
109,kir
110,kor
111,kos
112,ksa
113,kuw
114,lao
115,lat
116,lba
117,lbr
118,lca
119,les
120,lib
121,lie
122,ltu
123,lux
124,mad
125,mal
126,mar
127,mas
128,maw
129,mda
130,mdv
131,mex
132,mgl
133,mhl
134,mkd
135,mli
136,mlt
137,mne
138,mon
139,moz
140,mri
141,mtn
142,mya
143,nam
144,nbo
145,nca
146,ned
147,nep
148,ngr
149,nig
150,nor
151,nru
152,nzl
153,oma
154,pak
155,pan
156,par
157,per
158,phi
159,ple
160,plw
161,png
162,pol
163,por
164,prk
165,pur
166,qat
167,rho
168,rot
169,rou
170,rsa
171,rus
172,rwa
173,saa
174,sam
175,scg
176,sen
177,sey
178,sgp
179,skn
180,sle
181,slo
182,smr
183,sol
184,som
185,srb
186,sri
187,ssd
188,stp
189,sud
190,sui
191,sur
192,svk
193,swe
194,swz
195,syr
196,tan
197,tch
198,tga
199,tha
200,tjk
201,tkm
202,tls
203,tog
204,tpe
205,tto
206,tun
207,tur
208,tuv
209,uae
210,uar
211,uga
212,ukr
213,unk
214,urs
215,uru
216,usa
217,uzb
218,van
219,ven
220,vie
221,vin
222,vnm
223,wif
224,yar
225,yem
226,ymd
227,yug
228,zam
229,zim
