PK_Team,Team
1,a north american team
2,acipactli
3,acturus
4,afghanistan
5,akatonbo
6,alain iv
7,albania
8,alcaid
9,alcyon-7
10,aldebaran
11,aldebaran ii
12,aletta
13,algeria
14,ali-baba ii
15,ali-baba iv
16,ali-baba vi
17,aloha ii
18,american samoa
19,amolgavar
20,amstel amsterdam
21,amulet-7
22,ancora
23,andorinha
24,andorra
25,andromeda
26,angelita
27,angola
28,anitra
29,antares
30,antigua and barbuda
31,antwerpia v
32,apache
33,aphrodite
34,arcturus
35,ardilla
36,aretusa
37,argentina
38,argentina-1
39,argentina-2
40,argeste
41,argo ii
42,argonaut rowing club
43,argus
44,ariel
45,ariette-8
46,armenia
47,aruba
48,aschenbrodel
49,astrid iii
50,atalanta boat club-2
51,athens-2
52,atlanta
53,augsburg
54,ausonia
55,australasia
56,australia
57,australia-1
58,australia-2
59,australia-3
60,austria
61,austria-1
62,austria-2
63,azerbaijan
64,babe
65,baby-1
66,baccara
67,bahamas
68,bahrain
69,bajazzo
70,balaton
71,ballerina iv
72,bamba
73,bangladesh
74,barbados
75,barco deloro
76,barion/bari-2
77,barrenjoey
78,beatrijs iii-1
79,beaver
80,belarus
81,belarus-1
82,belarus-2
83,belgium
84,belgium-1
85,belgium-2
86,belgium-4
87,belize
88,bella
89,bellatrix xiii
90,bem ii
91,benin
92,bera
93,berliner ruderclub
94,berliner ruderclub sport-borussia-1
95,berliner ruderverein von 1876-2
96,bermuda
97,bermudes
98,bermudian
99,bhutan
100,bim
101,bingo
102,bissbi
103,blue red
104,bluebottle
105,boer team
106,bohemia
107,bohemia-1
108,bohemia-3
109,bolivia
110,bona fide
111,bonzo
112,boreas
113,boreas-2
114,bosnia and herzegovina
115,botswana
116,brandenburg
117,brat
118,brazil
119,brazil-1
120,brazil-2
121,breslau
122,brigantia
123,british virgin islands
124,bronia
125,brunei
126,brussels swimming and water polo club
127,brynhild-2
128,bu iii
129,bucintoro venezia
130,bulgaria
131,bulgaria-1
132,bulgaria-2
133,buraddoo
134,burevestnik
135,burkina faso
136,burundi
137,buscape ii
138,bylina-2
139,calcinhas
140,calypse ii
141,cambodia
142,cambria
143,cambridge university boat club-2
144,camelia
145,cameroon
146,camille
147,canada
148,canada-1
149,canada-2
150,canada-3
151,canopus
152,cape verde
153,caprice
154,cayman islands
155,central african republic
156,century boat club-1
157,cercle de l'aviron roubaix-4
158,cercle nautique de reims-4
159,ceres ii
160,cha-cha iii
161,chad
162,chaje ii
163,chamukina
164,chance
165,chicago athletic association-2
166,chile
167,china
168,china-1
169,china-2
170,china-3
171,chinese taipei
172,chinese taipei-1
173,chinese taipei-2
174,christian brothers' college-1
175,chuckles
176,cicely-1
177,cinara-13
178,ciocca
179,ciocca ii
180,circus
181,ciss
182,clementine v
183,club nautique de dieppe-5
184,club nautique de franais-1
185,club nautique de lyon-2
186,cobweb-1
187,colette-12
188,colombia
189,comanche
190,combine
191,comoros
192,compigne polo club
193,complex ii
194,congo (brazzaville)
195,congo (kinshasa)
196,cook islands
197,cornwall
198,costa rica
199,cote d'ivoire
200,covunco iii
201,crabe i-3
202,crabe ii-4
203,crete
204,croatia
205,crocodile-13
206,cuba
207,cuba-1
208,cupidon iii
209,cupidon viking
210,cuxhaven
211,cyprus
212,czech republic
213,czech republic-1
214,czech republic-2
215,czechoslovakia
216,czechoslovakia-1
217,czechoslovakia-2
218,czechoslovakia-3
219,daisy
220,damoiselle
221,damoiselle iv
222,danaldo
223,dansk idrts forbund
224,danuta
225,danzig
226,demi-mondaine-17
227,denmark
228,denmark-1
229,denmark-2
230,denmark-3
231,denmark-4
232,denmark/sweden
233,deruyter
234,deutscher schwimm verband berlin
235,devon and somerset wanderers
236,diablo
237,dick-8
238,dinah v
239,djibouti
240,djinn
241,dolfijn
242,dominica
243,dominican republic
244,donar iii
245,dormy-1
246,dresden
247,druzhba
248,ducky-4
249,dylan-2
250,ea ii
251,east germany
252,east germany-1
253,east germany-2
254,east germany-3
255,ecuador
256,edelweiss ii-1
257,egypt
258,eissero vi
259,el salvador
260,eleda
261,elisabeth v
262,elisabeth x
263,elsie
264,emily
265,encore
266,england-1
267,enotria
268,equatorial guinea
269,eritrea
270,erna signe
271,escapade
272,espadarte
273,esperia
274,espuma del mar
275,essen
276,esterel-1
277,estonia
278,ethiopia
279,ethnikos gymnastikos syllogos
280,evita vi
281,fada
282,falcon iv
283,falcon vi
284,faneca
285,fantasio iii
286,fantlet-7
287,favorite hammonia-3
288,favorite-17
289,federated states of micronesia
290,femur-18
291,feo
292,fiji
293,finland
294,finland-1
295,finland-2
296,finn ii
297,firebird ii
298,formosa
299,fornebo
300,foxhunters hurlingham
301,fram
302,france
303,france-1
304,france-2
305,france-3
306,france-4
307,france/great britain
308,frankfurt club
309,freddy
310,freia-5
311,freja
312,frieda
313,frimousse
314,frip iv
315,fruits
316,gabbiano
317,gabon
318,galatea ii
319,galejan
320,galerna
321,gallant
322,gallia ii
323,galopin-9
324,galt football club
325,gam ii
326,gambia
327,gem
328,gem vii
329,georgia
330,germania ii
331,germany
332,germany-1
333,germany-2
334,germany-3
335,germany/united states
336,ghana
337,gilliatt v
338,girl pat
339,giselle-6
340,gitana-2
341,great britain
342,great britain-1
343,great britain-2
344,great britain-3
345,great britain-4
346,great britain/germany
347,greece
348,greece-1
349,greece-2
350,greece-3
351,greece-4
352,greenoaks dundee
353,grenada
354,grifo iii
355,grifo iv
356,grifone
357,gteborgs roddfrening-2
358,gteborgs roddklubb-1
359,guam
360,guanahani
361,guatemala
362,guinea
363,guinea bissau
364,gullvinge
365,gustel v
366,gustl xi
367,guyana
368,guyoni
369,gwendoline-2
370,gyoshuii
371,gyp-6
